# iteration    r (m)    potential (V)
         1         -0.048              0
         1        -0.0477              0
         1        -0.0474              0
         1        -0.0471              0
         1        -0.0468              0
         1        -0.0465              0
         1        -0.0462              0
         1        -0.0459              0
         1        -0.0456              0
         1        -0.0453              0
         1         -0.045              0
         1        -0.0447              0
         1        -0.0444              0
         1        -0.0441              0
         1        -0.0438              0
         1        -0.0435              0
         1        -0.0432              0
         1        -0.0429              0
         1        -0.0426              0
         1        -0.0423              0
         1         -0.042              0
         1        -0.0417              0
         1        -0.0414              0
         1        -0.0411              0
         1        -0.0408              0
         1        -0.0405              0
         1        -0.0402              0
         1        -0.0399              0
         1        -0.0396              0
         1        -0.0393              0
         1         -0.039              0
         1        -0.0387              0
         1        -0.0384              0
         1        -0.0381              0
         1        -0.0378              0
         1        -0.0375              0
         1        -0.0372              0
         1        -0.0369              0
         1        -0.0366              0
         1        -0.0363              0
         1         -0.036              0
         1        -0.0357              0
         1        -0.0354              0
         1        -0.0351              0
         1        -0.0348              0
         1        -0.0345              0
         1        -0.0342              0
         1        -0.0339              0
         1        -0.0336              0
         1        -0.0333              0
         1         -0.033              0
         1        -0.0327              0
         1        -0.0324              0
         1        -0.0321              0
         1        -0.0318              0
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03       -9.94001
         1        -0.0297       -42.2152
         1        -0.0294       -74.8114
         1        -0.0291       -107.761
         1        -0.0288       -141.105
         1        -0.0285       -174.888
         1        -0.0282       -209.161
         1        -0.0279       -243.976
         1        -0.0276       -279.389
         1        -0.0273        -315.46
         1         -0.027       -352.251
         1        -0.0267       -389.826
         1        -0.0264       -428.256
         1        -0.0261       -467.614
         1        -0.0258       -507.976
         1        -0.0255       -549.424
         1        -0.0252       -592.045
         1        -0.0249       -635.931
         1        -0.0246       -681.179
         1        -0.0243       -727.893
         1         -0.024       -776.181
         1        -0.0237       -826.159
         1        -0.0234       -877.951
         1        -0.0231       -931.686
         1        -0.0228       -987.503
         1        -0.0225       -1045.55
         1        -0.0222       -1105.97
         1        -0.0219       -1168.94
         1        -0.0216       -1234.63
         1        -0.0213        -1303.2
         1         -0.021       -1374.86
         1        -0.0207       -1449.81
         1        -0.0204       -1528.24
         1        -0.0201       -1610.37
         1        -0.0198       -1696.44
         1        -0.0195       -1786.67
         1        -0.0192       -1881.31
         1        -0.0189       -1980.61
         1        -0.0186       -2084.83
         1        -0.0183       -2194.26
         1         -0.018       -2309.16
         1        -0.0177       -2429.84
         1        -0.0174       -2556.59
         1        -0.0171       -2689.74
         1        -0.0168       -2829.62
         1        -0.0165       -2976.57
         1        -0.0162       -3130.96
         1        -0.0159       -3293.17
         1        -0.0156        -3463.6
         1        -0.0153        -3642.7
         1         -0.015       -3830.93
         1        -0.0147       -4028.77
         1        -0.0144       -4236.77
         1        -0.0141       -4455.51
         1        -0.0138       -4685.62
         1        -0.0135        -4927.8
         1        -0.0132        -5182.8
         1        -0.0129       -5451.48
         1        -0.0126       -5734.75
         1        -0.0123       -6033.65
         1         -0.012       -6349.34
         1        -0.0117       -6683.11
         1        -0.0114       -7036.39
         1        -0.0111       -7410.85
         1        -0.0108       -7808.32
         1        -0.0105       -8230.92
         1        -0.0102       -8681.08
         1        -0.0099       -9161.58
         1        -0.0096       -9675.64
         1        -0.0093       -10227.1
         1         -0.009       -10820.2
         1        -0.0087       -11460.5
         1        -0.0084       -12154.1
         1        -0.0081       -12908.7
         1        -0.0078       -13733.8
         1        -0.0075       -14641.2
         1        -0.0072       -15645.9
         1        -0.0069       -16767.7
         1        -0.0066       -18032.5
         1        -0.0063       -19475.9
         1         -0.006       -21144.1
         1        -0.0057       -23081.1
         1        -0.0054         -25000
         1        -0.0051         -25000
         1        -0.0048         -25000
         1        -0.0045         -24958
         1        -0.0042       -24618.1
         1        -0.0039       -24305.4
         1        -0.0036       -24042.4
         1        -0.0033       -23829.7
         1         -0.003       -23662.7
         1        -0.0027       -23535.4
         1        -0.0024       -23441.9
         1        -0.0021       -23376.2
         1        -0.0018       -23332.7
         1        -0.0015       -23306.2
         1        -0.0012       -23291.9
         1        -0.0009       -23285.6
         1        -0.0006       -23283.8
         1        -0.0003       -23283.8
         1              0         -23284
         1         0.0003       -23283.8
         1         0.0006       -23283.8
         1         0.0009       -23285.6
         1         0.0012       -23291.9
         1         0.0015       -23306.1
         1         0.0018       -23332.6
         1         0.0021       -23376.1
         1         0.0024       -23441.7
         1         0.0027       -23535.2
         1          0.003       -23662.5
         1         0.0033       -23829.5
         1         0.0036       -24042.1
         1         0.0039       -24305.1
         1         0.0042       -24617.8
         1         0.0045       -24957.8
         1         0.0048         -25000
         1         0.0051         -25000
         1         0.0054         -25000
         1         0.0057       -23084.3
         1          0.006       -21146.5
         1         0.0063       -19478.2
         1         0.0066       -18034.9
         1         0.0069       -16770.2
         1         0.0072       -15648.5
         1         0.0075       -14643.9
         1         0.0078       -13736.7
         1         0.0081       -12911.7
         1         0.0084       -12157.3
         1         0.0087         -11464
         1          0.009         -10824
         1         0.0093       -10231.1
         1         0.0096          -9680
         1         0.0099       -9166.28
         1         0.0102       -8686.15
         1         0.0105       -8236.39
         1         0.0108        -7814.2
         1         0.0111       -7417.17
         1         0.0114       -7043.17
         1         0.0117       -6690.36
         1          0.012       -6357.08
         1         0.0123       -6041.89
         1         0.0126       -5743.49
         1         0.0129       -5460.73
         1         0.0132       -5192.56
         1         0.0135       -4938.06
         1         0.0138       -4696.37
         1         0.0141       -4466.73
         1         0.0144       -4248.45
         1         0.0147       -4040.89
         1          0.015       -3843.45
         1         0.0153       -3655.59
         1         0.0156       -3476.83
         1         0.0159       -3306.68
         1         0.0162       -3144.72
         1         0.0165       -2990.53
         1         0.0168       -2843.72
         1         0.0171       -2703.94
         1         0.0174       -2570.84
         1         0.0177       -2444.08
         1          0.018       -2323.34
         1         0.0183       -2208.34
         1         0.0186       -2098.76
         1         0.0189       -1994.34
         1         0.0192       -1894.79
         1         0.0195       -1799.88
         1         0.0198       -1709.33
         1         0.0201       -1622.93
         1         0.0204       -1540.42
         1         0.0207        -1461.6
         1          0.021       -1386.24
         1         0.0213       -1314.15
         1         0.0216       -1245.14
         1         0.0219       -1179.01
         1         0.0222       -1115.59
         1         0.0225       -1054.71
         1         0.0228       -996.212
         1         0.0231       -939.943
         1         0.0234       -885.761
         1         0.0237       -833.527
         1          0.024       -783.114
         1         0.0243         -734.4
         1         0.0246       -687.269
         1         0.0249       -641.613
         1         0.0252       -597.328
         1         0.0255       -554.318
         1         0.0258       -512.491
         1         0.0261       -471.761
         1         0.0264       -432.045
         1         0.0267       -393.265
         1          0.027        -355.35
         1         0.0273       -318.228
         1         0.0276       -281.834
         1         0.0279       -246.105
         1         0.0282       -210.982
         1         0.0285       -176.407
         1         0.0288       -142.328
         1         0.0291       -108.693
         1         0.0294       -75.4575
         1         0.0297       -42.5793
         1           0.03       -10.0257
         1         0.0303              0
         1         0.0306              0
         1         0.0309              0
         1         0.0312              0
         1         0.0315              0
         1         0.0318              0
         1         0.0321              0
         1         0.0324              0
         1         0.0327              0
         1          0.033              0
         1         0.0333              0
         1         0.0336              0
         1         0.0339              0
         1         0.0342              0
         1         0.0345              0
         1         0.0348              0
         1         0.0351              0
         1         0.0354              0
         1         0.0357              0
         1          0.036              0
         1         0.0363              0
         1         0.0366              0
         1         0.0369              0
         1         0.0372              0
         1         0.0375              0
         1         0.0378              0
         1         0.0381              0
         1         0.0384              0
         1         0.0387              0
         1          0.039              0
         1         0.0393              0
         1         0.0396              0
         1         0.0399              0
         1         0.0402              0
         1         0.0405              0
         1         0.0408              0
         1         0.0411              0
         1         0.0414              0
         1         0.0417              0
         1          0.042              0
         1         0.0423              0
         1         0.0426              0
         1         0.0429              0
         1         0.0432              0
         1         0.0435              0
         1         0.0438              0
         1         0.0441              0
         1         0.0444              0
         1         0.0447              0
         1          0.045              0
         1         0.0453              0
         1         0.0456              0
         1         0.0459              0
         1         0.0462              0
         1         0.0465              0
         1         0.0468              0
         1         0.0471              0
         1         0.0474              0
         1         0.0477              0
         2         -0.048              0
         2        -0.0477              0
         2        -0.0474              0
         2        -0.0471              0
         2        -0.0468              0
         2        -0.0465              0
         2        -0.0462              0
         2        -0.0459              0
         2        -0.0456              0
         2        -0.0453              0
         2         -0.045              0
         2        -0.0447              0
         2        -0.0444              0
         2        -0.0441              0
         2        -0.0438              0
         2        -0.0435              0
         2        -0.0432              0
         2        -0.0429              0
         2        -0.0426              0
         2        -0.0423              0
         2         -0.042              0
         2        -0.0417              0
         2        -0.0414              0
         2        -0.0411              0
         2        -0.0408              0
         2        -0.0405              0
         2        -0.0402              0
         2        -0.0399              0
         2        -0.0396              0
         2        -0.0393              0
         2         -0.039              0
         2        -0.0387              0
         2        -0.0384              0
         2        -0.0381              0
         2        -0.0378              0
         2        -0.0375              0
         2        -0.0372              0
         2        -0.0369              0
         2        -0.0366              0
         2        -0.0363              0
         2         -0.036              0
         2        -0.0357              0
         2        -0.0354              0
         2        -0.0351              0
         2        -0.0348              0
         2        -0.0345              0
         2        -0.0342              0
         2        -0.0339              0
         2        -0.0336              0
         2        -0.0333              0
         2         -0.033              0
         2        -0.0327              0
         2        -0.0324              0
         2        -0.0321              0
         2        -0.0318              0
         2        -0.0315              0
         2        -0.0312              0
         2        -0.0309              0
         2        -0.0306              0
         2        -0.0303              0
         2          -0.03       -11.1271
         2        -0.0297       -47.2157
         2        -0.0294       -83.6023
         2        -0.0291       -120.319
         2        -0.0288       -157.407
         2        -0.0285       -194.909
         2        -0.0282       -232.876
         2        -0.0279       -271.359
         2        -0.0276       -310.415
         2        -0.0273         -350.1
         2         -0.027       -390.478
         2        -0.0267       -431.614
         2        -0.0264       -473.576
         2        -0.0261       -516.437
         2        -0.0258       -560.276
         2        -0.0255       -605.175
         2        -0.0252        -651.22
         2        -0.0249       -698.503
         2        -0.0246       -747.123
         2        -0.0243       -797.183
         2         -0.024       -848.791
         2        -0.0237       -902.061
         2        -0.0234       -957.116
         2        -0.0231       -1014.08
         2        -0.0228        -1073.1
         2        -0.0225       -1134.31
         2        -0.0222       -1197.86
         2        -0.0219       -1263.91
         2        -0.0216       -1332.63
         2        -0.0213        -1404.2
         2         -0.021       -1478.79
         2        -0.0207       -1556.59
         2        -0.0204       -1637.79
         2        -0.0201       -1722.59
         2        -0.0198       -1811.16
         2        -0.0195       -1903.69
         2        -0.0192       -2000.45
         2        -0.0189       -2101.67
         2        -0.0186       -2207.66
         2        -0.0183       -2318.68
         2         -0.018       -2435.02
         2        -0.0177       -2557.01
         2        -0.0174       -2684.94
         2        -0.0171       -2819.11
         2        -0.0168       -2959.84
         2        -0.0165        -3107.5
         2        -0.0162       -3262.49
         2        -0.0159       -3425.19
         2        -0.0156          -3596
         2        -0.0153       -3775.34
         2         -0.015       -3963.68
         2        -0.0147       -4161.48
         2        -0.0144       -4369.33
         2        -0.0141        -4587.8
         2        -0.0138       -4817.53
         2        -0.0135       -5059.18
         2        -0.0132       -5313.53
         2        -0.0129        -5581.4
         2        -0.0126       -5863.73
         2        -0.0123       -6161.53
         2         -0.012       -6475.96
         2        -0.0117       -6808.27
         2        -0.0114       -7159.91
         2        -0.0111        -7532.5
         2        -0.0108       -7927.88
         2        -0.0105       -8348.19
         2        -0.0102       -8795.81
         2        -0.0099       -9273.49
         2        -0.0096       -9784.46
         2        -0.0093       -10332.5
         2         -0.009       -10921.9
         2        -0.0087       -11557.9
         2        -0.0084       -12246.9
         2        -0.0081       -12996.5
         2        -0.0078       -13815.9
         2        -0.0075         -14717
         2        -0.0072       -15714.6
         2        -0.0069       -16828.3
         2        -0.0066         -18084
         2        -0.0063       -19516.8
         2         -0.006       -21172.7
         2        -0.0057       -23095.4
         2        -0.0054         -25000
         2        -0.0051         -25000
