# iteration    r (m)    potential (V)
         1         -0.048              0
         1        -0.0477              0
         1        -0.0474              0
         1        -0.0471              0
         1        -0.0468              0
         1        -0.0465              0
         1        -0.0462              0
         1        -0.0459              0
         1        -0.0456              0
         1        -0.0453              0
         1         -0.045              0
         1        -0.0447              0
         1        -0.0444              0
         1        -0.0441              0
         1        -0.0438              0
         1        -0.0435              0
         1        -0.0432              0
         1        -0.0429              0
         1        -0.0426              0
         1        -0.0423              0
         1         -0.042              0
         1        -0.0417              0
         1        -0.0414              0
         1        -0.0411              0
         1        -0.0408              0
         1        -0.0405              0
         1        -0.0402              0
         1        -0.0399              0
         1        -0.0396              0
         1        -0.0393              0
         1         -0.039              0
         1        -0.0387              0
         1        -0.0384              0
         1        -0.0381              0
         1        -0.0378              0
         1        -0.0375              0
         1        -0.0372              0
         1        -0.0369              0
         1        -0.0366              0
         1        -0.0363              0
         1         -0.036              0
         1        -0.0357              0
         1        -0.0354              0
         1        -0.0351              0
         1        -0.0348              0
         1        -0.0345              0
         1        -0.0342              0
         1        -0.0339              0
         1        -0.0336              0
         1        -0.0333              0
         1         -0.033              0
         1        -0.0327              0
         1        -0.0324              0
         1        -0.0321              0
         1        -0.0318              0
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03       -1.98891
         1        -0.0297       -8.44695
         1        -0.0294       -14.9694
         1        -0.0291        -21.563
         1        -0.0288       -28.2359
         1        -0.0285        -34.997
         1        -0.0282       -41.8564
         1        -0.0279       -48.8243
         1        -0.0276       -55.9118
         1        -0.0273       -63.1304
         1         -0.027       -70.4925
         1        -0.0267       -78.0111
         1        -0.0264       -85.7001
         1        -0.0261       -93.5741
         1        -0.0258       -101.649
         1        -0.0255       -109.941
         1        -0.0252       -118.467
         1        -0.0249       -127.247
         1        -0.0246       -136.299
         1        -0.0243       -145.645
         1         -0.024       -155.306
         1        -0.0237       -165.305
         1        -0.0234       -175.667
         1        -0.0231       -186.417
         1        -0.0228       -197.583
         1        -0.0225       -209.194
         1        -0.0222        -221.28
         1        -0.0219       -233.876
         1        -0.0216       -247.014
         1        -0.0213       -260.731
         1         -0.021       -275.065
         1        -0.0207       -290.055
         1        -0.0204       -305.744
         1        -0.0201       -322.174
         1        -0.0198       -339.389
         1        -0.0195       -357.438
         1        -0.0192       -376.368
         1        -0.0189        -396.23
         1        -0.0186       -417.077
         1        -0.0183       -438.964
         1         -0.018       -461.946
         1        -0.0177       -486.082
         1        -0.0174       -511.435
         1        -0.0171       -538.066
         1        -0.0168       -566.044
         1        -0.0165       -595.436
         1        -0.0162       -626.316
         1        -0.0159       -658.761
         1        -0.0156       -692.851
         1        -0.0153       -728.673
         1         -0.015       -766.319
         1        -0.0147       -805.889
         1        -0.0144        -847.49
         1        -0.0141       -891.239
         1        -0.0138       -937.262
         1        -0.0135       -985.698
         1        -0.0132        -1036.7
         1        -0.0129       -1090.43
         1        -0.0126       -1147.09
         1        -0.0123       -1206.87
         1         -0.012       -1270.01
         1        -0.0117       -1336.76
         1        -0.0114       -1407.42
         1        -0.0111       -1482.31
         1        -0.0108        -1561.8
         1        -0.0105       -1646.32
         1        -0.0102       -1736.35
         1        -0.0099       -1832.45
         1        -0.0096       -1935.26
         1        -0.0093       -2045.54
         1         -0.009       -2164.17
         1        -0.0087       -2292.21
         1        -0.0084       -2430.93
         1        -0.0081       -2581.85
         1        -0.0078       -2746.86
         1        -0.0075       -2928.33
         1        -0.0072       -3129.28
         1        -0.0069       -3353.61
         1        -0.0066       -3606.57
         1        -0.0063       -3895.23
         1         -0.006       -4228.86
         1        -0.0057       -4616.24
         1        -0.0054          -5000
         1        -0.0051          -5000
         1        -0.0048          -5000
         1        -0.0045       -4991.61
         1        -0.0042       -4923.63
         1        -0.0039       -4861.09
         1        -0.0036       -4808.49
         1        -0.0033       -4765.95
         1         -0.003       -4732.55
         1        -0.0027        -4707.1
         1        -0.0024       -4688.39
         1        -0.0021       -4675.25
         1        -0.0018       -4666.55
         1        -0.0015       -4661.26
         1        -0.0012        -4658.4
         1        -0.0009       -4657.14
         1        -0.0006       -4656.78
         1        -0.0003       -4656.79
         1              0       -4656.82
         1         0.0003       -4656.78
         1         0.0006       -4656.78
         1         0.0009       -4657.14
         1         0.0012       -4658.39
         1         0.0015       -4661.25
         1         0.0018       -4666.54
         1         0.0021       -4675.23
         1         0.0024       -4688.37
         1         0.0027       -4707.07
         1          0.003       -4732.51
         1         0.0033        -4765.9
         1         0.0036       -4808.44
         1         0.0039       -4861.03
         1         0.0042       -4923.57
         1         0.0045       -4991.56
         1         0.0048          -5000
         1         0.0051          -5000
         1         0.0054          -5000
         1         0.0057       -4616.87
         1          0.006       -4229.33
         1         0.0063       -3895.69
         1         0.0066       -3607.05
         1         0.0069       -3354.11
         1         0.0072       -3129.79
         1         0.0075       -2928.87
         1         0.0078       -2747.43
         1         0.0081       -2582.45
         1         0.0084       -2431.57
         1         0.0087       -2292.91
         1          0.009       -2164.92
         1         0.0093       -2046.34
         1         0.0096       -1936.13
         1         0.0099       -1833.39
         1         0.0102       -1737.36
         1         0.0105       -1647.41
         1         0.0108       -1562.98
         1         0.0111       -1483.57
         1         0.0114       -1408.77
         1         0.0117       -1338.21
         1          0.012       -1271.55
         1         0.0123       -1208.52
         1         0.0126       -1148.84
         1         0.0129       -1092.28
         1         0.0132       -1038.65
         1         0.0135       -987.748
         1         0.0138        -939.41
         1         0.0141       -893.483
         1         0.0144       -849.826
         1         0.0147       -808.311
         1          0.015       -768.821
         1         0.0153       -731.249
         1         0.0156       -695.493
         1         0.0159       -661.461
         1         0.0162       -629.065
         1         0.0165       -598.225
         1         0.0168       -568.863
         1         0.0171       -540.905
         1         0.0174       -514.283
         1         0.0177       -488.929
         1          0.018       -464.781
         1         0.0183       -441.778
         1         0.0186       -419.861
         1         0.0189       -398.975
         1         0.0192       -379.064
         1         0.0195       -360.078
         1         0.0198       -341.967
         1         0.0201       -324.683
         1         0.0204       -308.179
         1         0.0207       -292.412
         1          0.021       -277.339
         1         0.0213        -262.92
         1         0.0216       -249.115
         1         0.0219       -235.888
         1         0.0222       -223.202
         1         0.0225       -211.025
         1         0.0228       -199.323
         1         0.0231       -188.067
         1         0.0234       -177.228
         1         0.0237       -166.778
         1          0.024       -156.692
         1         0.0243       -146.946
         1         0.0246       -137.516
         1         0.0249       -128.382
         1         0.0252       -119.523
         1         0.0255       -110.919
         1         0.0258       -102.551
         1         0.0261       -94.4027
         1         0.0264        -86.457
         1         0.0267       -78.6982
         1          0.027       -71.1116
         1         0.0273       -63.6832
         1         0.0276          -56.4
         1         0.0279       -49.2494
         1         0.0282       -42.2199
         1         0.0285       -35.3002
         1         0.0288       -28.4799
         1         0.0291        -21.749
         1         0.0294       -15.0983
         1         0.0297       -8.51958
         1           0.03       -2.00599
         1         0.0303              0
         1         0.0306              0
         1         0.0309              0
         1         0.0312              0
         1         0.0315              0
         1         0.0318              0
         1         0.0321              0
         1         0.0324              0
         1         0.0327              0
         1          0.033              0
         1         0.0333              0
         1         0.0336              0
         1         0.0339              0
         1         0.0342              0
         1         0.0345              0
         1         0.0348              0
         1         0.0351              0
         1         0.0354              0
         1         0.0357              0
         1          0.036              0
         1         0.0363              0
         1         0.0366              0
         1         0.0369              0
         1         0.0372              0
         1         0.0375              0
         1         0.0378              0
         1         0.0381              0
         1         0.0384              0
         1         0.0387              0
         1          0.039              0
         1         0.0393              0
         1         0.0396              0
         1         0.0399              0
         1         0.0402              0
         1         0.0405              0
         1         0.0408              0
         1         0.0411              0
         1         0.0414              0
         1         0.0417              0
         1          0.042              0
         1         0.0423              0
         1         0.0426              0
         1         0.0429              0
         1         0.0432              0
         1         0.0435              0
         1         0.0438              0
         1         0.0441              0
         1         0.0444              0
         1         0.0447              0
         1          0.045              0
         1         0.0453              0
         1         0.0456              0
         1         0.0459              0
         1         0.0462              0
         1         0.0465              0
         1         0.0468              0
         1         0.0471              0
         1         0.0474              0
         1         0.0477              0
         2         -0.048              0
         2        -0.0477              0
         2        -0.0474              0
         2        -0.0471              0
         2        -0.0468              0
         2        -0.0465              0
         2        -0.0462              0
         2        -0.0459              0
         2        -0.0456              0
         2        -0.0453              0
         2         -0.045              0
         2        -0.0447              0
         2        -0.0444              0
         2        -0.0441              0
         2        -0.0438              0
         2        -0.0435              0
         2        -0.0432              0
         2        -0.0429              0
         2        -0.0426              0
         2        -0.0423              0
         2         -0.042              0
         2        -0.0417              0
         2        -0.0414              0
         2        -0.0411              0
         2        -0.0408              0
         2        -0.0405              0
         2        -0.0402              0
         2        -0.0399              0
         2        -0.0396              0
         2        -0.0393              0
         2         -0.039              0
         2        -0.0387              0
         2        -0.0384              0
         2        -0.0381              0
         2        -0.0378              0
         2        -0.0375              0
         2        -0.0372              0
         2        -0.0369              0
         2        -0.0366              0
         2        -0.0363              0
         2         -0.036              0
         2        -0.0357              0
         2        -0.0354              0
         2        -0.0351              0
         2        -0.0348              0
         2        -0.0345              0
         2        -0.0342              0
         2        -0.0339              0
         2        -0.0336              0
         2        -0.0333              0
         2         -0.033              0
         2        -0.0327              0
         2        -0.0324              0
         2        -0.0321              0
         2        -0.0318              0
         2        -0.0315              0
         2        -0.0312              0
         2        -0.0309              0
         2        -0.0306              0
         2        -0.0303              0
         2          -0.03       -1.76533
         2        -0.0297       -7.49743
         2        -0.0294       -13.2869
         2        -0.0291       -19.1399
         2        -0.0288       -25.0638
         2        -0.0285       -31.0671
         2        -0.0282        -37.159
         2        -0.0279       -43.3492
         2        -0.0276       -49.6482
         2        -0.0273       -56.0667
         2         -0.027       -62.6165
         2        -0.0267       -69.3096
         2        -0.0264        -76.159
         2        -0.0261       -83.1783
         2        -0.0258       -90.3821
         2        -0.0255       -97.7858
         2        -0.0252       -105.406
         2        -0.0249       -113.259
         2        -0.0246       -121.365
         2        -0.0243       -129.743
         2         -0.024       -138.414
         2        -0.0237       -147.399
         2        -0.0234       -156.723
         2        -0.0231        -166.41
         2        -0.0228       -176.488
         2        -0.0225       -186.989
         2        -0.0222       -197.937
         2        -0.0219       -209.361
         2        -0.0216       -221.304
         2        -0.0213       -233.802
         2         -0.021       -246.886
         2        -0.0207       -260.599
         2        -0.0204       -274.975
         2        -0.0201       -290.057
         2        -0.0198        -305.94
         2        -0.0195       -322.794
         2        -0.0192       -340.587
         2        -0.0189       -359.352
         2        -0.0186        -379.13
         2        -0.0183       -399.968
         2         -0.018       -421.918
         2        -0.0177       -445.037
         2        -0.0174       -469.385
         2        -0.0171       -495.023
         2        -0.0168       -522.012
         2        -0.0165       -550.426
         2        -0.0162       -580.343
         2        -0.0159       -611.841
         2        -0.0156           -645
         2        -0.0153       -679.907
         2         -0.015        -716.66
         2        -0.0147        -755.36
         2        -0.0144       -796.119
         2        -0.0141       -839.063
         2        -0.0138       -884.325
         2        -0.0135       -932.051
         2        -0.0132       -982.396
         2        -0.0129       -1035.54
         2        -0.0126       -1091.68
         2        -0.0123       -1151.03
         2         -0.012       -1213.81
         2        -0.0117       -1280.31
         2        -0.0114       -1350.81
         2        -0.0111       -1425.65
         2        -0.0108       -1505.23
         2        -0.0105       -1589.98
         2        -0.0102       -1680.39
         2        -0.0099       -1777.04
         2        -0.0096       -1880.58
         2        -0.0093        -1991.8
         2         -0.009        -2111.6
         2        -0.0087       -2241.07
         2        -0.0084       -2381.52
         2        -0.0081       -2534.52
         2        -0.0078       -2701.99
         2        -0.0075       -2886.36
         2        -0.0072       -3090.71
         2        -0.0069       -3319.08
         2        -0.0066       -3576.83
         2        -0.0063       -3871.23
         2         -0.006       -4211.84
         2        -0.0057       -4607.65
         2        -0.0054          -5000
         2        -0.0051          -5000
         2        -0.0048          -5000
         2        -0.0045       -4990.91
         2        -0.0042       -4917.18
         2        -0.0039        -4848.9
