# iteration    r (m)    potential (V)
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03              0
         1        -0.0297       -1.97535
         1        -0.0294        -6.0429
         1        -0.0291       -10.1609
         1        -0.0288       -14.3152
         1        -0.0285        -18.499
         1        -0.0282       -22.7068
         1        -0.0279       -26.9335
         1        -0.0276        -31.173
         1        -0.0273       -35.4188
         1         -0.027       -39.6629
         1        -0.0267        -43.896
         1        -0.0264       -48.1071
         1        -0.0261        -52.283
         1        -0.0258       -56.4081
         1        -0.0255       -60.4635
         1        -0.0252       -64.4265
         1        -0.0249       -68.2695
         1        -0.0246       -71.9589
         1        -0.0243       -75.4535
         1         -0.024       -78.7026
         1        -0.0237       -81.6424
         1        -0.0234       -84.1931
         1        -0.0231       -86.2525
         1        -0.0228       -87.6884
         1        -0.0225       -88.3269
         1        -0.0222        -87.934
         1        -0.0219       -86.1873
         1        -0.0216       -82.6278
         1        -0.0213       -76.5765
         1         -0.021       -66.9774
         1        -0.0207       -52.0807
         1        -0.0204       -28.7442
         1        -0.0201              0
         1        -0.0198              0
         1        -0.0195              0
         1        -0.0192       -9.14486
         1        -0.0189       -91.2245
         1        -0.0186       -154.527
         1        -0.0183       -208.059
         1         -0.018       -255.994
         1        -0.0177       -300.542
         1        -0.0174       -343.009
         1        -0.0171       -384.234
         1        -0.0168         -424.8
         1        -0.0165       -465.133
         1        -0.0162       -505.566
         1        -0.0159       -546.367
         1        -0.0156       -587.767
         1        -0.0153       -629.968
         1         -0.015       -673.156
         1        -0.0147       -717.506
         1        -0.0144       -763.187
         1        -0.0141       -810.366
         1        -0.0138       -859.214
         1        -0.0135       -909.905
         1        -0.0132       -962.621
         1        -0.0129       -1017.55
         1        -0.0126       -1074.91
         1        -0.0123        -1134.9
         1         -0.012       -1197.78
         1        -0.0117       -1263.79
         1        -0.0114       -1333.24
         1        -0.0111       -1406.44
         1        -0.0108       -1483.74
         1        -0.0105       -1565.54
         1        -0.0102        -1652.3
         1        -0.0099       -1744.53
         1        -0.0096       -1842.82
         1        -0.0093       -1947.84
         1         -0.009        -2060.4
         1        -0.0087       -2181.41
         1        -0.0084          -2312
         1        -0.0081       -2453.47
         1        -0.0078       -2607.44
         1        -0.0075        -2775.9
         1        -0.0072       -2961.36
         1        -0.0069       -3167.02
         1        -0.0066       -3397.11
         1        -0.0063       -3657.39
         1         -0.006       -3956.08
         1        -0.0057       -4305.79
         1        -0.0054       -4729.15
         1        -0.0051          -5000
         1        -0.0048          -5000
         1        -0.0045          -5000
         1        -0.0042       -4988.93
         1        -0.0039       -4916.08
         1        -0.0036          -4854
         1        -0.0033       -4802.65
         1         -0.003       -4761.38
         1        -0.0027        -4729.1
         1        -0.0024       -4704.61
         1        -0.0021       -4686.69
         1        -0.0018       -4674.17
         1        -0.0015       -4665.94
         1        -0.0012       -4660.96
         1        -0.0009        -4658.3
         1        -0.0006       -4657.14
         1        -0.0003        -4656.8
         1              0        -4656.8
         1         0.0003       -4656.84
         1         0.0006       -4656.84
         1         0.0009       -4656.95
         1         0.0012       -4657.54
         1         0.0015       -4659.16
         1         0.0018       -4662.52
         1         0.0021        -4668.5
         1         0.0024       -4678.06
         1         0.0027       -4692.26
         1          0.003       -4712.22
         1         0.0033       -4739.14
         1         0.0036       -4774.23
         1         0.0039       -4818.66
         1         0.0042        -4873.4
         1         0.0045       -4938.91
         1         0.0048          -5000
         1         0.0051          -5000
         1         0.0054          -5000
         1         0.0057          -5000
